ambiguous_term,context_regex,window,resolution,priority,reason
高山,火車|纜車|鐵道|登山|山脈|山頂|攻頂,30,SKIP,100,一般詞「高山」非日本地名
高山,玉山|阿里山|合歡山|雪山|喜馬拉雅,40,SKIP,100,搭配台灣或國際山名時為一般詞
高山,日本|岐阜|飛驒|合掌村|白川鄉|金澤|名古屋|中部,40,JP-CBU-TKY,90,日本飛驒高山
高山,飛驒,15,JP-CBU-TKY,100,飛驒高山直接定位
東方威尼斯,.*,full,SKIP,100,比喻句不標義大利
小威尼斯,.*,full,SKIP,100,比喻句不標義大利
水都威尼斯,.*,full,SKIP,90,比喻句
東方巴黎,.*,full,SKIP,100,比喻句
小巴黎,.*,full,SKIP,100,比喻句
亞洲小巴黎,.*,full,SKIP,100,比喻句
小瑞士,.*,full,SKIP,100,比喻句不標瑞士
東方夏威夷,.*,full,SKIP,100,比喻句
亞洲的XX,.*,full,SKIP,80,亞洲的+地名通常為比喻
中國,日本|本州|廣島|岡山|鳥取|島根|山口,30,JP-CGK,95,日本中國地方 (Chugoku)
中國,大陸|內地|京滬|長城|故宮|頤和園|北京|上海|杭州|蘇州|敦煌|西安|華東|華北|華南|西北|東北,50,CN,90,中華人民共和國
倫敦,英國|UK|英倫|大笨鐘|泰晤士|白金漢|倫敦塔,50,SKIP,100,英國倫敦但不在業務範圍
倫敦,加拿大|安大略|Ontario,50,SKIP,100,加拿大倫敦但不在業務範圍
威尼斯,義大利|歐洲|貢多拉|聖馬可,50,SKIP,90,義大利威尼斯但不在業務範圍
威尼斯,(東方|小|亞洲|仿|越南|澳門|Charm of Venice|水都),8,SKIP,100,比喻句或仿景
日光,登山|防曬|曝曬|陽光|日光浴|採光,15,SKIP,100,一般詞非地名
日光,日本|栃木|東照宮|關東,40,JP-KTO-NKK,90,日本日光
神戶,日本|關西|大阪|京都|港口|牛肉,40,JP-KSI-KOB,95,日本神戶
桃園,機場|轉機|落地|起飛|集合|出發|搭機|班機,15,SKIP,100,桃園作為機場時通常為過境
桃園,觀光|景點|美食|大溪|拉拉山|石門水庫|慈湖,30,TW-TYU,80,實際前往桃園
仁川,機場|轉機|落地|起飛|搭機,15,SKIP,100,仁川機場通常為過境
東京,迪士尼|淺草|新宿|澀谷|銀座|秋葉原|築地|上野,30,JP-KTO-TYO,100,東京實際目的地
台北,101|信義|西門|士林|淡水|貓空|陽明山|故宮,30,TW-TPE,100,台北實際目的地
東北,日本|本州|仙台|青森|秋田|盛岡,30,JP-THK,95,日本東北地方
東北,中國|大陸|哈爾濱|瀋陽|大連|長春|吉林,30,CN-NEA,95,中國東北三省
東北,亞洲|地區|地方,15,SKIP,40,一般方位詞需更多上下文
華東,中國|大陸|上海|蘇州|杭州|江浙|長三角,30,CN-EAS,100,中國華東
華北,中國|大陸|北京|天津|長城|故宮,30,CN-NOR,100,中國華北
西北,中國|大陸|西安|敦煌|蘭州|新疆|絲路|莫高窟,30,CN-NWE,100,中國西北
關東,日本|東京|橫濱|箱根|日光|鎌倉,30,JP-KTO,100,日本關東
關西,日本|大阪|京都|奈良|神戶,30,JP-KSI,100,日本關西
北海道,日本|札幌|函館|小樽|富良野|薰衣草|雪|滑雪,30,JP-HKD,100,日本北海道
九州,日本|福岡|熊本|長崎|鹿兒島|別府,30,JP-KYU,100,日本九州
沖繩,日本|那霸|石垣|首里城,30,JP-OKW,100,日本沖繩
韓國,首爾|釜山|濟州|大邱|仁川,40,KR,100,
明洞,首爾|韓國|江南,20,KR-SEL,100,首爾景點
東大門,首爾|韓國,20,KR-SEL,100,首爾景點
