weak_signal,naive_country,possible_countries,required_strong,guidance,min_context,source
Safari,南非,南非、坦尚尼亞、波札那等、肯亞,克魯格/開普敦/桌山；或其他國家公園名,需搭配公園或國家名。,,curated
Universal,日本/新加坡/美國任一,日本、新加坡、美國,USJ/大阪；USS/聖淘沙；Hollywood/Los Angeles；Orlando,必須搭配城市、縮寫或園區名稱。,,curated
中世紀古城,,捷克,,命中布拉格、查理大橋、天文鐘、CK小鎮時判捷克。,,country_row
亞得里亞海風,,克羅埃西亞,,命中杜布羅夫尼克、十六湖、普利特維采、史普利特時判克羅埃西亞。,,country_row
企鵝,,南非,,命中開普敦、桌山、好望角、克魯格國家公園時判南非。,南非,country_row
佛寺,,泰國,,命中曼谷、大皇宮、鄭王廟、普吉島、PP島、清邁時判泰國。,泰國,country_row
佛教聖地,,尼泊爾,,命中加德滿都、博卡拉、奇旺、珠峰基地營時判尼泊爾。,,country_row
佛朗明哥風,,西班牙,,命中聖家堂、高第、巴塞隆納、阿爾罕布拉宮時判西班牙。,,country_row
倫敦,,澳門,,命中澳門、大三巴、路氹、威尼斯人、巴黎人、倫敦人、永利皇宮時判澳門。,澳門,country_row
倫敦人,,英國,,命中倫敦、大笨鐘、白金漢宮、大英博物館、愛丁堡時判英國。,,country_row
健行天堂,,尼泊爾,,命中加德滿都、博卡拉、奇旺、珠峰基地營時判尼泊爾。,,country_row
冰河,,冰島、紐西蘭,,命中皇后鎮、米佛峽灣、蒂卡波湖、哈比村、庫克山時判紐西蘭。 | 命中雷克雅維克、藍湖、黃金圈、黑沙灘、傑古沙龍冰河湖時判冰島。,冰島|紐西蘭,country_row
加勒比海,,墨西哥,,命中坎昆、奇琴伊察、馬雅、亡靈節、墨西哥城時判墨西哥。,,country_row
北歐海岸,,挪威,,命中松恩峽灣、蓋朗厄爾峽灣、羅弗敦、卑爾根時判挪威。,,country_row
北歐童話,,芬蘭,,命中羅瓦涅米、聖誕老人村、赫爾辛基、拉普蘭時判芬蘭。,,country_row
北角,,挪威,,命中松恩峽灣、蓋朗厄爾峽灣、羅弗敦、卑爾根時判挪威。,挪威,country_row
南半球,,澳洲,,命中雪梨歌劇院、大堡礁、十二門徒石、烏魯魯、塔斯馬尼亞時判澳洲。,,country_row
南島,,紐西蘭,,命中皇后鎮、米佛峽灣、蒂卡波湖、哈比村、庫克山時判紐西蘭。,紐西蘭,country_row
南洋古城,,馬來西亞,,命中雙子星塔、吉隆坡、沙巴、仙本那、雲頂高原時判馬來西亞。,,country_row
古城,,中國,,命中長城、故宮、兵馬俑、外灘、張家界、九寨溝時判中國。,中國,country_row
古文明,,埃及、墨西哥、柬埔寨,,命中吳哥窟、暹粒、巴戎寺、塔普倫寺時判柬埔寨。 | 命中吉薩金字塔、獅身人面像、開羅、路克索、阿布辛貝時判埃及。 | 命中坎昆、奇琴伊察、馬雅、亡靈節、墨西哥城時判墨西哥。,,country_row
合掌村,,台灣,,命中台北101、日月潭、阿里山、九份、太魯閣、墾丁、澎湖時判台灣。,,country_row
哈比風,,紐西蘭,,命中皇后鎮、米佛峽灣、蒂卡波湖、哈比村、庫克山時判紐西蘭。,,country_row
啤酒節,,德國,,命中新天鵝堡、慕尼黑、柏林、羅曼蒂克大道、科隆大教堂時判德國。,,country_row
